psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
59_6_1,0,0,1,0,0,0,0,0,0,0
829_8_2,0,0,0,0,0,1,0,0,0,0
270_4_2,0,0,0,0,0,1,0,0,0,0
660_6_1,1,0,0,0,0,0,0,0,0,0
63_8_1,0,0,0,0,1,0,0,0,0,0
371_11_1,0,0,0,0,0,0,0,0,1,0
301_10_1,0,0,0,1,0,0,0,0,0,0
286_8_2,0,0,0,0,0,0,1,0,0,0
333_2_1,0,0,0,0,1,0,0,0,0,0
121_2_1,0,0,0,0,1,0,0,0,0,0
284_8_1,0,0,0,0,0,1,0,0,0,0
648_7_1,0,0,0,0,1,0,0,0,0,0
67_10_1,0,1,0,0,0,0,0,0,0,0
585_2_1,0,0,0,0,1,0,0,0,0,0
147_9_1,0,0,0,0,1,0,0,0,0,0
519_2_1,0,0,0,0,1,0,0,0,0,0
496_8_1,0,0,0,0,0,0,0,1,0,0
733_8_1,0,1,0,0,0,0,0,0,0,0
184_11_1,0,1,0,0,0,0,0,0,0,0
619_5_1,0,0,0,0,0,0,1,0,0,0
551_5_1,0,0,0,1,0,0,0,0,0,0
474_1_1,0,0,0,0,0,0,1,0,0,0
530_7_1,0,0,0,0,0,0,1,0,0,0
8_7_1,0,0,0,1,0,0,0,0,0,0
146_3_1,0,0,0,0,1,0,0,0,0,0
396_5_1,0,1,0,0,0,0,0,0,0,0
814_8_2,0,1,0,0,0,0,0,0,0,0
672_8_2,0,0,1,0,0,0,0,0,0,0
167_8_1,0,0,0,1,0,0,0,0,0,0
490_11_1,0,0,0,0,0,0,1,0,0,0
60_2_1,0,0,0,1,0,0,0,0,0,0
738_8_2,0,0,1,0,0,0,0,0,0,0
4_10_1,0,0,0,0,0,0,1,0,0,0
33_9_1,0,1,0,0,0,0,0,0,0,0
465_5_1,0,0,0,1,0,0,0,0,0,0
648_11_2,0,0,0,0,0,1,0,0,0,0
23_5_1,0,0,0,1,0,0,0,0,0,0
131_11_2,0,1,0,0,0,0,0,0,0,0
367_11_1,0,0,0,0,1,0,0,0,0,0
30_2_1,0,1,0,0,0,0,0,0,0,0
29_7_1,0,0,1,0,0,0,0,0,0,0
364_5_1,0,0,0,1,0,0,0,0,0,0
190_4_1,0,0,0,0,0,1,0,0,0,0
3_3_1,0,0,0,1,0,0,0,0,0,0
13_1_1,0,0,0,0,0,0,1,0,0,0
454_4_1,0,0,0,0,0,0,1,0,0,0
800_5_1,0,0,1,0,0,0,0,0,0,0
190_1_1,0,0,0,0,0,1,0,0,0,0
624_4_2,0,0,0,0,1,0,0,0,0,0
699_7_1,0,0,0,0,1,0,0,0,0,0
353_6_1,0,0,0,0,1,0,0,0,0,0
593_4_1,0,0,0,0,1,0,0,0,0,0
739_2_1,0,0,0,1,0,0,0,0,0,0
741_4_2,0,0,0,0,0,1,0,0,0,0
7_4_1,0,0,0,1,0,0,0,0,0,0
341_4_1,0,0,0,0,1,0,0,0,0,0
358_5_3,0,0,0,0,1,0,0,0,0,0
768_10_1,0,0,1,0,0,0,0,0,0,0
11_1_2,0,0,0,0,1,0,0,0,0,0
300_2_1,0,0,1,0,0,0,0,0,0,0
264_12_1,0,0,0,0,0,0,1,0,0,0
130_16_2,0,0,0,0,1,0,0,0,0,0
730_5_2,0,0,0,0,0,0,0,0,1,0
48_6_1,0,0,1,0,0,0,0,0,0,0
59_5_1,0,0,0,0,0,0,1,0,0,0
135_12_2,0,0,1,0,0,0,0,0,0,0
179_4_1,0,0,0,0,1,0,0,0,0,0
309_1_1,0,0,0,1,0,0,0,0,0,0
505_5_1,0,0,1,0,0,0,0,0,0,0
356_2_1,0,0,0,0,1,0,0,0,0,0
508_4_1,0,0,0,0,1,0,0,0,0,0
726_7_2,0,0,0,0,0,0,1,0,0,0
492_6_1,0,0,0,0,0,1,0,0,0,0
568_2_1,0,0,0,0,0,0,0,0,1,0
331_5_1,0,0,0,1,0,0,0,0,0,0
178_8_1,0,0,0,0,0,1,0,0,0,0
12_6_1,0,0,0,0,1,0,0,0,0,0
213_8_1,0,0,0,1,0,0,0,0,0,0
42_8_1,0,0,1,0,0,0,0,0,0,0
385_7_1,0,0,1,0,0,0,0,0,0,0
396_7_1,0,0,1,0,0,0,0,0,0,0
785_2_2,0,0,0,1,0,0,0,0,0,0
248_7_1,0,0,0,0,0,1,0,0,0,0
382_8_1,1,0,0,0,0,0,0,0,0,0
705_4_2,0,0,0,0,0,1,0,0,0,0
442_3_1,0,0,0,1,0,0,0,0,0,0
336_5_1,0,0,0,1,0,0,0,0,0,0
471_7_2,0,0,0,0,0,0,1,0,0,0
526_6_1,0,0,0,1,0,0,0,0,0,0
210_1_1,0,0,0,0,0,0,0,1,0,0
784_9_1,0,0,0,0,0,1,0,0,0,0
152_10_2,0,0,0,0,0,1,0,0,0,0
629_4_2,0,0,0,0,1,0,0,0,0,0
752_5_1,0,0,0,0,0,1,0,0,0,0
395_1_2,0,0,0,0,1,0,0,0,0,0
192_9_1,0,0,0,1,0,0,0,0,0,0
236_2_2,0,0,0,0,0,0,0,1,0,0
770_5_2,1,0,0,0,0,0,0,0,0,0
380_7_1,0,0,0,0,1,0,0,0,0,0
760_8_2,0,0,0,0,0,0,0,0,1,0
226_10_1,0,1,0,0,0,0,0,0,0,0
759_2_2,0,0,0,1,0,0,0,0,0,0
543_2_1,0,0,1,0,0,0,0,0,0,0
651_2_1,0,0,0,1,0,0,0,0,0,0
729_5_1,0,0,0,0,0,1,0,0,0,0
240_12_1,0,0,1,0,0,0,0,0,0,0
494_7_1,0,0,0,1,0,0,0,0,0,0
681_8_1,0,0,0,0,0,1,0,0,0,0
678_6_2,0,0,0,0,0,0,1,0,0,0
661_7_1,0,1,0,0,0,0,0,0,0,0
150_7_1,0,0,0,0,1,0,0,0,0,0
375_6_3,0,0,1,0,0,0,0,0,0,0
324_9_1,0,0,0,0,1,0,0,0,0,0
377_8_3,0,0,0,0,1,0,0,0,0,0
48_3_1,0,0,1,0,0,0,0,0,0,0
243_7_1,0,0,0,1,0,0,0,0,0,0
552_8_1,0,0,0,1,0,0,0,0,0,0
74_2_1,0,0,0,1,0,0,0,0,0,0
501_4_1,0,0,0,1,0,0,0,0,0,0
688_7_1,0,0,0,0,0,1,0,0,0,0
3_10_1,0,0,0,0,1,0,0,0,0,0
536_1_1,0,0,0,1,0,0,0,0,0,0
770_2_2,0,0,0,1,0,0,0,0,0,0
631_6_1,0,0,1,0,0,0,0,0,0,0
731_9_1,0,0,0,0,0,0,0,1,0,0
285_2_1,0,0,0,0,0,0,1,0,0,0
786_2_3,0,0,0,0,1,0,0,0,0,0
750_11_1,0,0,0,0,0,0,1,0,0,0
792_9_2,0,0,0,1,0,0,0,0,0,0
639_3_2,0,0,0,0,0,0,0,1,0,0
516_3_1,0,0,0,0,1,0,0,0,0,0
726_8_1,0,0,0,1,0,0,0,0,0,0
494_2_1,0,0,0,0,0,0,0,1,0,0
628_1_1,0,0,0,0,1,0,0,0,0,0
270_5_2,0,0,0,0,0,1,0,0,0,0
503_1_1,0,0,1,0,0,0,0,0,0,0
590_7_1,0,0,0,0,0,0,0,1,0,0
17_5_1,0,0,0,0,0,1,0,0,0,0
556_3_1,1,0,0,0,0,0,0,0,0,0
284_3_1,0,0,0,0,0,0,1,0,0,0
133_2_2,0,0,1,0,0,0,0,0,0,0
67_12_1,0,0,0,0,0,0,1,0,0,0
403_3_3,0,0,0,0,0,1,0,0,0,0
681_4_1,0,0,0,0,1,0,0,0,0,0
451_4_1,0,0,0,0,1,0,0,0,0,0
167_1_1,0,0,0,0,0,0,1,0,0,0
288_12_1,0,1,0,0,0,0,0,0,0,0
200_2_1,0,0,0,0,0,1,0,0,0,0
135_9_2,0,1,0,0,0,0,0,0,0,0
438_11_1,0,0,0,0,1,0,0,0,0,0
629_9_1,0,0,1,0,0,0,0,0,0,0
96_4_1,0,0,0,1,0,0,0,0,0,0
805_4_2,0,0,0,0,1,0,0,0,0,0
450_3_1,0,0,0,1,0,0,0,0,0,0
811_6_1,0,0,0,0,1,0,0,0,0,0
498_8_1,0,0,0,1,0,0,0,0,0,0
657_7_1,0,0,0,1,0,0,0,0,0,0
512_2_1,0,0,0,0,0,0,1,0,0,0
642_5_2,0,0,0,0,0,0,1,0,0,0
764_2_2,0,0,0,1,0,0,0,0,0,0
388_4_1,0,0,1,0,0,0,0,0,0,0
145_8_1,0,0,0,1,0,0,0,0,0,0
95_4_1,0,1,0,0,0,0,0,0,0,0
265_8_1,0,0,0,1,0,0,0,0,0,0
785_3_2,0,0,0,0,1,0,0,0,0,0
195_3_2,0,0,0,1,0,0,0,0,0,0
137_4_1,0,0,0,1,0,0,0,0,0,0
85_5_1,0,1,0,0,0,0,0,0,0,0
209_8_1,0,1,0,0,0,0,0,0,0,0
195_2_1,0,0,0,0,1,0,0,0,0,0
63_1_3,0,0,0,0,0,1,0,0,0,0
296_8_1,0,0,0,0,0,1,0,0,0,0
408_7_1,0,0,0,0,1,0,0,0,0,0
708_6_1,0,0,1,0,0,0,0,0,0,0
825_5_2,0,1,0,0,0,0,0,0,0,0
265_4_1,0,0,0,0,1,0,0,0,0,0
370_5_1,0,1,0,0,0,0,0,0,0,0
457_4_2,0,0,0,0,1,0,0,0,0,0
670_6_3,0,0,0,1,0,0,0,0,0,0
735_5_1,0,0,0,1,0,0,0,0,0,0
325_4_1,0,0,0,1,0,0,0,0,0,0
602_6_1,0,0,0,0,1,0,0,0,0,0
584_8_2,0,0,0,0,0,0,1,0,0,0
316_4_1,0,0,0,0,1,0,0,0,0,0
71_2_1,1,0,0,0,0,0,0,0,0,0
188_9_1,0,0,0,0,1,0,0,0,0,0
434_10_1,0,0,0,0,0,0,0,1,0,0
410_10_1,0,0,0,0,1,0,0,0,0,0
245_7_1,0,0,0,0,0,0,1,0,0,0
256_5_3,0,0,0,0,0,1,0,0,0,0
429_4_1,0,0,0,0,0,1,0,0,0,0
308_10_1,0,0,0,0,1,0,0,0,0,0
276_4_1,0,0,0,0,1,0,0,0,0,0
714_12_1,0,0,0,0,1,0,0,0,0,0
279_3_1,0,0,0,0,0,0,1,0,0,0
130_11_2,0,0,1,0,0,0,0,0,0,0
779_2_1,0,0,1,0,0,0,0,0,0,0
805_2_2,0,0,0,1,0,0,0,0,0,0
328_4_1,0,0,1,0,0,0,0,0,0,0
524_7_1,0,0,0,1,0,0,0,0,0,0
201_7_1,0,0,0,0,0,0,1,0,0,0
458_5_1,0,1,0,0,0,0,0,0,0,0
293_5_1,0,1,0,0,0,0,0,0,0,0
546_1_2,0,0,0,1,0,0,0,0,0,0
158_6_3,0,0,0,0,1,0,0,0,0,0
10_8_1,0,0,0,1,0,0,0,0,0,0
41_6_1,0,0,0,1,0,0,0,0,0,0
767_3_2,0,0,0,1,0,0,0,0,0,0
597_5_1,0,0,1,0,0,0,0,0,0,0
293_4_1,0,1,0,0,0,0,0,0,0,0
413_6_1,0,0,0,1,0,0,0,0,0,0
773_1_1,0,1,0,0,0,0,0,0,0,0
680_10_2,0,0,0,1,0,0,0,0,0,0
390_6_1,0,0,1,0,0,0,0,0,0,0
787_2_1,0,0,0,0,1,0,0,0,0,0
350_6_1,0,0,0,1,0,0,0,0,0,0
217_3_5,0,0,0,1,0,0,0,0,0,0
688_6_1,0,0,0,0,1,0,0,0,0,0
434_9_1,0,0,0,0,1,0,0,0,0,0
721_6_1,0,0,0,0,0,0,0,0,1,0
601_4_1,0,0,0,1,0,0,0,0,0,0
351_7_1,0,0,0,0,0,0,0,0,1,0
810_2_2,0,0,0,1,0,0,0,0,0,0
786_3_1,0,0,0,0,0,0,1,0,0,0
486_2_1,0,0,0,0,1,0,0,0,0,0
180_2_2,0,0,0,1,0,0,0,0,0,0
289_11_1,0,0,1,0,0,0,0,0,0,0
335_10_1,0,0,1,0,0,0,0,0,0,0
86_4_1,0,0,0,0,1,0,0,0,0,0
351_1_1,0,0,0,0,1,0,0,0,0,0
668_7_1,0,0,0,1,0,0,0,0,0,0
281_1_1,0,0,0,0,0,0,0,0,1,0
222_6_1,0,1,0,0,0,0,0,0,0,0
659_1_1,0,1,0,0,0,0,0,0,0,0
285_5_1,0,0,0,0,0,0,0,0,1,0
93_1_1,0,0,0,0,1,0,0,0,0,0
604_9_1,0,0,0,1,0,0,0,0,0,0
629_5_2,0,0,0,1,0,0,0,0,0,0
728_5_1,0,0,0,0,0,1,0,0,0,0
186_1_2,0,0,1,0,0,0,0,0,0,0
555_6_2,0,0,1,0,0,0,0,0,0,0
786_1_1,0,0,0,0,0,1,0,0,0,0
633_7_1,0,0,1,0,0,0,0,0,0,0
12_1_1,0,0,1,0,0,0,0,0,0,0
421_7_1,0,0,0,0,0,0,1,0,0,0
634_10_2,0,0,0,1,0,0,0,0,0,0
560_8_2,0,0,0,0,1,0,0,0,0,0
430_1_1,0,0,0,0,0,1,0,0,0,0
20_6_1,0,0,0,0,1,0,0,0,0,0
733_7_2,0,0,0,1,0,0,0,0,0,0
822_3_1,0,0,0,0,0,0,0,1,0,0
133_1_2,0,0,1,0,0,0,0,0,0,0
216_1_1,0,0,1,0,0,0,0,0,0,0
64_9_1,0,0,0,0,1,0,0,0,0,0
328_5_1,0,0,1,0,0,0,0,0,0,0
395_4_1,0,0,0,0,1,0,0,0,0,0
660_4_1,0,0,0,1,0,0,0,0,0,0
503_6_1,0,0,1,0,0,0,0,0,0,0
418_4_1,0,1,0,0,0,0,0,0,0,0
25_8_1,0,0,0,0,0,0,1,0,0,0
417_6_1,0,0,0,1,0,0,0,0,0,0
289_4_1,0,1,0,0,0,0,0,0,0,0
254_2_1,0,0,0,1,0,0,0,0,0,0
603_4_1,0,1,0,0,0,0,0,0,0,0
368_11_4,0,0,1,0,0,0,0,0,0,0
639_6_4,0,0,0,0,0,0,1,0,0,0
717_11_1,0,0,0,1,0,0,0,0,0,0
135_4_2,0,0,1,0,0,0,0,0,0,0
681_9_1,0,0,0,0,1,0,0,0,0,0
764_1_2,0,0,0,0,0,1,0,0,0,0
60_5_1,0,0,1,0,0,0,0,0,0,0
50_3_1,0,1,0,0,0,0,0,0,0,0
288_9_1,0,0,1,0,0,0,0,0,0,0
361_4_1,0,0,0,0,1,0,0,0,0,0
383_4_1,0,0,0,1,0,0,0,0,0,0
490_10_2,0,0,0,0,0,0,1,0,0,0
573_4_2,0,0,0,1,0,0,0,0,0,0
549_5_1,0,0,0,1,0,0,0,0,0,0
95_5_1,0,0,1,0,0,0,0,0,0,0
654_6_1,0,0,1,0,0,0,0,0,0,0
221_6_1,0,1,0,0,0,0,0,0,0,0
393_1_6,0,0,0,1,0,0,0,0,0,0
740_5_2,1,0,0,0,0,0,0,0,0,0
521_1_1,0,0,0,0,1,0,0,0,0,0
539_5_1,0,0,0,0,0,0,1,0,0,0
253_11_1,0,0,0,0,0,0,1,0,0,0
128_8_1,0,0,0,0,0,0,1,0,0,0
101_1_1,0,0,0,0,1,0,0,0,0,0
680_2_1,0,0,0,1,0,0,0,0,0,0
702_11_3,0,0,0,0,0,1,0,0,0,0
738_6_2,0,0,0,0,0,0,1,0,0,0
443_2_1,1,0,0,0,0,0,0,0,0,0
194_2_3,0,1,0,0,0,0,0,0,0,0
131_10_2,0,0,0,1,0,0,0,0,0,0
153_9_1,0,0,0,0,0,1,0,0,0,0
379_6_1,0,0,0,1,0,0,0,0,0,0
323_7_1,0,0,0,0,0,0,1,0,0,0
27_1_1,0,0,1,0,0,0,0,0,0,0
420_11_1,0,0,0,1,0,0,0,0,0,0
434_7_1,0,0,1,0,0,0,0,0,0,0
628_4_2,0,0,0,0,1,0,0,0,0,0
558_9_1,0,0,0,0,1,0,0,0,0,0
790_6_1,0,0,1,0,0,0,0,0,0,0
716_7_1,0,0,0,0,0,0,0,1,0,0
785_1_2,0,0,0,0,1,0,0,0,0,0
807_9_1,0,1,0,0,0,0,0,0,0,0
751_8_1,0,0,0,1,0,0,0,0,0,0
131_4_2,0,0,1,0,0,0,0,0,0,0
761_10_1,0,0,0,0,1,0,0,0,0,0
435_9_1,0,0,0,0,1,0,0,0,0,0
762_11_3,0,0,0,0,0,1,0,0,0,0
678_2_2,0,0,0,1,0,0,0,0,0,0
744_1_2,0,1,0,0,0,0,0,0,0,0
728_8_1,0,0,0,0,1,0,0,0,0,0
322_6_1,0,0,0,0,1,0,0,0,0,0
445_8_2,0,0,0,0,0,0,0,1,0,0
409_4_1,0,0,0,1,0,0,0,0,0,0
203_10_1,0,0,1,0,0,0,0,0,0,0
308_3_1,0,0,0,0,1,0,0,0,0,0
634_2_1,0,0,0,0,0,1,0,0,0,0
437_6_1,0,0,0,0,1,0,0,0,0,0
228_5_1,1,0,0,0,0,0,0,0,0,0
755_5_2,1,0,0,0,0,0,0,0,0,0
415_2_1,0,0,0,0,1,0,0,0,0,0
672_4_1,0,0,1,0,0,0,0,0,0,0
79_2_1,0,0,1,0,0,0,0,0,0,0
205_1_1,0,0,0,0,0,1,0,0,0,0
144_1_1,0,0,1,0,0,0,0,0,0,0
51_2_1,0,0,0,0,0,1,0,0,0,0
178_6_1,0,0,0,1,0,0,0,0,0,0
701_7_1,0,0,0,1,0,0,0,0,0,0
707_9_2,0,0,0,0,0,0,0,1,0,0
783_4_1,0,0,0,0,0,0,0,1,0,0
186_6_1,0,1,0,0,0,0,0,0,0,0
500_7_1,0,0,0,1,0,0,0,0,0,0
117_7_1,0,0,0,0,0,1,0,0,0,0
649_3_1,0,0,0,0,0,1,0,0,0,0
208_11_1,0,1,0,0,0,0,0,0,0,0
828_2_1,0,0,0,0,0,1,0,0,0,0
758_8_1,0,0,0,0,0,1,0,0,0,0
416_5_1,0,0,0,1,0,0,0,0,0,0
797_4_1,0,0,0,1,0,0,0,0,0,0
358_4_1,0,0,1,0,0,0,0,0,0,0
425_7_1,0,0,0,0,1,0,0,0,0,0
451_1_1,0,0,0,0,0,0,1,0,0,0
195_8_2,0,0,0,1,0,0,0,0,0,0
470_7_1,0,0,1,0,0,0,0,0,0,0
400_8_1,0,0,1,0,0,0,0,0,0,0
710_9_1,0,0,0,0,1,0,0,0,0,0
749_3_2,0,0,0,0,1,0,0,0,0,0
359_2_1,0,0,0,1,0,0,0,0,0,0
193_10_2,0,0,1,0,0,0,0,0,0,0
150_1_1,0,0,0,0,0,1,0,0,0,0
95_1_1,0,0,1,0,0,0,0,0,0,0
165_4_1,0,0,1,0,0,0,0,0,0,0
198_3_2,0,0,0,1,0,0,0,0,0,0
669_8_2,0,0,0,1,0,0,0,0,0,0
315_3_1,0,0,0,1,0,0,0,0,0,0
193_3_1,0,0,0,0,0,0,0,1,0,0
638_8_1,0,0,0,0,0,0,0,1,0,0
170_3_1,0,0,0,0,0,0,0,1,0,0
560_7_1,0,0,0,1,0,0,0,0,0,0
188_3_1,0,0,0,0,0,0,1,0,0,0
668_4_1,0,0,0,1,0,0,0,0,0,0
93_9_1,0,0,0,0,1,0,0,0,0,0
570_8_1,0,0,0,0,1,0,0,0,0,0
430_5_1,0,1,0,0,0,0,0,0,0,0
338_3_1,0,0,0,0,0,1,0,0,0,0
41_3_1,0,0,1,0,0,0,0,0,0,0
303_3_1,0,1,0,0,0,0,0,0,0,0
172_3_2,0,0,0,0,1,0,0,0,0,0
667_3_1,0,0,1,0,0,0,0,0,0,0
90_1_1,0,0,0,0,0,1,0,0,0,0
5_7_1,0,0,0,1,0,0,0,0,0,0
685_1_1,0,0,0,0,0,1,0,0,0,0
593_8_1,0,0,0,0,0,1,0,0,0,0
300_9_1,0,0,0,0,1,0,0,0,0,0
38_1_1,1,0,0,0,0,0,0,0,0,0
694_6_1,0,0,0,0,0,1,0,0,0,0
493_4_1,0,0,0,0,0,0,1,0,0,0
772_7_2,0,1,0,0,0,0,0,0,0,0
77_5_1,0,0,1,0,0,0,0,0,0,0
591_8_1,1,0,0,0,0,0,0,0,0,0
381_8_1,0,0,0,0,1,0,0,0,0,0
437_5_1,0,0,0,1,0,0,0,0,0,0
102_5_1,0,0,1,0,0,0,0,0,0,0
88_1_1,0,0,0,0,1,0,0,0,0,0
89_3_1,0,0,0,0,1,0,0,0,0,0
570_7_2,0,0,0,0,1,0,0,0,0,0
832_11_1,0,0,0,0,0,1,0,0,0,0
68_4_1,0,0,0,1,0,0,0,0,0,0
138_8_1,0,0,0,0,0,0,1,0,0,0
708_1_1,1,0,0,0,0,0,0,0,0,0
817_4_1,0,0,0,1,0,0,0,0,0,0
240_10_1,0,0,1,0,0,0,0,0,0,0
156_5_1,0,1,0,0,0,0,0,0,0,0
621_9_1,0,0,0,0,1,0,0,0,0,0
123_11_2,0,0,0,1,0,0,0,0,0,0
369_2_2,0,0,0,1,0,0,0,0,0,0
125_3_1,0,0,0,0,0,1,0,0,0,0
834_7_1,0,0,0,0,1,0,0,0,0,0
389_5_1,0,0,0,1,0,0,0,0,0,0
246_11_1,0,0,0,0,0,0,0,1,0,0
776_7_1,0,0,0,0,0,1,0,0,0,0
189_4_1,0,0,0,1,0,0,0,0,0,0
770_9_1,1,0,0,0,0,0,0,0,0,0
685_8_1,0,0,0,0,0,1,0,0,0,0
718_3_1,0,0,0,0,1,0,0,0,0,0
621_5_1,0,0,0,0,1,0,0,0,0,0
576_5_8,0,0,0,1,0,0,0,0,0,0
630_9_1,0,0,1,0,0,0,0,0,0,0
400_7_1,0,0,0,1,0,0,0,0,0,0
786_9_2,0,0,0,1,0,0,0,0,0,0
305_2_1,0,0,1,0,0,0,0,0,0,0
443_9_1,0,0,0,0,0,0,1,0,0,0
59_2_1,0,0,0,0,0,1,0,0,0,0
69_7_1,0,1,0,0,0,0,0,0,0,0
771_2_2,0,1,0,0,0,0,0,0,0,0
44_6_1,0,0,0,1,0,0,0,0,0,0
492_5_1,0,0,0,0,1,0,0,0,0,0
667_4_1,0,1,0,0,0,0,0,0,0,0
178_5_1,0,0,0,0,0,0,1,0,0,0
695_3_1,0,0,0,1,0,0,0,0,0,0
166_4_1,0,0,0,0,1,0,0,0,0,0
827_9_1,0,0,0,1,0,0,0,0,0,0
20_7_1,0,0,1,0,0,0,0,0,0,0
44_12_1,0,0,0,1,0,0,0,0,0,0
821_4_2,0,0,0,0,0,0,0,1,0,0
708_4_1,0,1,0,0,0,0,0,0,0,0
753_2_1,0,0,0,0,0,0,0,1,0,0
92_6_1,0,0,0,0,0,0,1,0,0,0
315_7_1,0,0,0,1,0,0,0,0,0,0
746_2_3,0,0,0,0,1,0,0,0,0,0
609_4_1,0,0,0,1,0,0,0,0,0,0
790_9_2,0,0,0,1,0,0,0,0,0,0
712_8_2,0,0,0,0,0,0,1,0,0,0
614_5_1,0,0,0,0,1,0,0,0,0,0
168_6_2,0,0,0,0,0,1,0,0,0,0
302_6_1,0,0,0,1,0,0,0,0,0,0
